learning_rate,gamma,buffer_size,batch_size,exploration_fraction,exploration_final_eps,mean_reward,std_reward,run
0.0001,0.99,50000,64,0.2,0.05,663.5617054659565,139.61929685976673,1
0.0005,0.95,10000,32,0.1,0.01,414.78086526130136,91.49956696238459,2
0.001,0.99,50000,128,0.3,0.1,693.1306628757371,250.39222212793072,3
0.005,0.9,5000,32,0.2,0.05,809.995587240294,162.47618490847822,4
0.01,0.95,10000,64,0.1,0.01,781.4702261409227,245.47208518089033,5
0.0001,0.9,10000,128,0.3,0.1,668.0240205161601,163.90266796224017,6
0.0005,0.99,5000,64,0.2,0.01,791.4031169186369,152.16748647281995,7
0.001,0.95,50000,32,0.1,0.05,766.2000306071293,184.3605434539711,8
0.0005,0.9,10000,128,0.3,0.05,750.3063439575521,169.7548385911573,9
0.001,0.99,5000,64,0.2,0.1,832.5157055547827,154.6417318710639,10
